id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
brb,,BlutreitergruppeBerg,1,,,,,,,,,,,,
bdj,,BundesministeriumderJustiz,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
yec,,YoungEconomyClube.V.,1,,,,,,,,,,,,
fph,,VerbandderprivatenHochschulene.V.,1,,,,,,,,,,,,
lsl,,LiberaleSchwuleundLesbenDeutschlande.V.,1,,,,,,,,,,,,
dst,,DeutschesStudentenwerke.V.,1,,,,,,,,,,,,
das,,DeutscheAIDS-Stiftung,1,,,,,,,,,,,,
bmh,,BundesstiftungMagnusHirschfeld,1,,,,,,,,,,,,
abf,,AusschussfuerBildungForschungundTechnikfolgenabschaetzung,1,,,,,,,,,,,,
fsf,,AusschussfuerFamilieSeniorenFrauenundJugend,1,,,,,,,,,,,,
bbf,,BundesministerinfuerBildungundForschung,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
iff,,InstituteforFreedomofFaithandSecurityinEurope,1,,,,,,,,,,,,
avs,,AgoraVerkehrswendeSmartEnergyforEuropePlatformgemeinnuetzigeGmbH,1,,,,,,,,,,,,
ubg,,UllsteinBuchverlageGmbH,1,,,,,,,,,,,,
wge,,WirtschaftlicheGesellschaftfürWestfalenundLippeeVWWL,1,,,,,,,,,,,,
sbe,,StiftungBildungEgitim,1,,,,,,,,,,,,
sgf,,StiftungGedenkenundFrieden,1,,,,,,,,,,,,
hbs,,HeinrichBoellStiftungeV,1,,,,,,,,,,,,
fpp,,FCPlayFairVereinfürIntegritätundNachhaltigkeitimFussballeV,1,,,,,,,,,,,,
dsi,,DSI Deutschlandstiftung Integration,1,,,,,,,,,,,,
dpz,,DasProgressiveZentrumeV,1,,,,,,,,,,,,
aiv,,AtlantischeInitiativeeV,1,,,,,,,,,,,,
ifm,,InstitutfuerMobilitaetderUniversitaetStGallen,1,,,,,,,,,,,,
gzs,,GesellschaftzumStudiumstrukturpolitischerFrageneV,1,,,,,,,,,,,,
avi,,AusschussfuerVerkehrunddigitaleInfrastruktur,1,,,,,,,,,,,,
wue,,WirtschaftundEnergie,1,,,,,,,,,,,,
bel,,BundesministeriumfuerErnaehrungundLandwirtschaft,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
wds,,WolfgangDoeringStiftung,1,,,,,,,,,,,,
ths,,TheodorHeussStiftung,1,,,,,,,,,,,,
rms,,ReinholdMaierStiftung,1,,,,,,,,,,,,
lba,,LandeskreditbankBadenWuerttemberg,1,,,,,,,,,,,,
ksf,,KreissparkasseFreudenstadt,1,,,,,,,,,,,,
leu,,LeucoAG,1,,,,,,,,,,,,
aus,,AusschussfuerArbeitundSoziales,1,,,,,,,,,,,,
afg,,AusschussfuerGesundheit,1,,,,,,,,,,,,
aft,,AusschussfuerTourismus,1,,,,,,,,,,,,
awe,,AusschussfuerWirtschaftundEnergie,1,,,,,,,,,,,,
wcd,,WirtschaftspolitischerClubDeutschlandeV,1,,,,,,,,,,,,
bbu,,Baden-BadenerUnternehmerGesprächeeV,1,,,,,,,,,,,,
idi,,InitiativeDeutscheInfrastruktureV,1,,,,,,,,,,,,
kfw,,KreditanstaltfuerWiederaufbau,1,,,,,,,,,,,,
aie,,DeutschesKomiteederaisenCeV,1,,,,,,,,,,,,
cnc,,CommunicationsundNetworkConsultingAG,1,,,,,,,,,,,,
aes,,AgoraEnergiewendeSmartEnergyforEuropePlatformgemeinnützigeGmbH,1,,,,,,,,,,,,
twf,,TWFMetallbearbeitungsHoldingUG,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
abw,,AusschussfuerBauWohnenStadtentwicklungundKommunen,1,,,,,,,,,,,,
arv,,AusschussfuerRechtundVerbraucherschutz,1,,,,,,,,,,,,
aun,,AusschussfuerUmweltNaturschutzundnukleareSicherheit,1,,,,,,,,,,,,
kum,,KulturundMedien,1,,,,,,,,,,,,
ruv,,RechtundVerbraucherschutz,1,,,,,,,,,,,,
unb,,UmweltNaturschutzBauundReaktorsicherheit,1,,,,,,,,,,,,
vdi,,VerkehrunddigitaleInfrastruktur,1,,,,,,,,,,,,
due,,DeutscheUnternehmensinitiativeEnergieeffizienzeV,1,,,,,,,,,,,,
bba,,BundesstiftungBaukultur,1,,,,,,,,,,,,
vwe,,VerbandWohneigentumeV,1,,,,,,,,,,,,
prs,,ProRegioStadtbahneV,1,,,,,,,,,,,,
swr,,SuedwestrundfunkSWR,1,,,,,,,,,,,,
bun,,BundesministerinfurrUmweltNaturschutznukleareSicherheitundVerbraucherschutz,1,,,,,,,,,,,,
